iter	RMSE
0	0.3928517313
1	0.3863546898
2	0.3800058382
3	0.3737009457
4	0.367600377
5	0.3617166533
6	0.3560332277
7	0.3504376348
8	0.3447677301
9	0.3394813566
10	0.3341495975
11	0.3291401441
12	0.3239448353
13	0.3192488995
14	0.3146186247
15	0.3098488678
16	0.3053134753
17	0.3011437116
18	0.2966860559
19	0.2923581332
20	0.2880653373
21	0.2839103208
22	0.2797175143
23	0.2757796538
24	0.2718559477
25	0.2682670223
26	0.264809175
27	0.2611404945
28	0.2576550306
29	0.2541927566
30	0.2508355886
31	0.2475977083
32	0.2444714158
33	0.2413856598
34	0.2382927602
35	0.2353697478
36	0.2323052885
37	0.2295027784
38	0.2266813135
39	0.224194214
40	0.2215050248
41	0.2189670861
42	0.2164267716
43	0.2138685152
44	0.2113993934
45	0.2091380777
46	0.2068823187
47	0.2047144522
48	0.202507081
49	0.2003270456
50	0.1981506012
51	0.1961090643
52	0.1940907364
53	0.1921442022
54	0.1901463377
55	0.1883413724
56	0.1866088864
57	0.1847224385
58	0.1830811056
59	0.1812588887
60	0.1796120321
61	0.1780752933
62	0.1765376403
63	0.1749019445
64	0.173352059
65	0.171797574
66	0.1703271691
67	0.1689346974
68	0.1674775522
69	0.1661651034
70	0.1648559297
71	0.1636675578
72	0.1625504508
73	0.1612840449
74	0.1601046668
75	0.1588989553
76	0.1577852038
77	0.1566236582
78	0.1556327519
79	0.1545373799
80	0.1534292044
81	0.1522815323
82	0.1513011446
83	0.150174501
84	0.1492198909
85	0.1482838494
86	0.1472667193
87	0.1463161118
88	0.1455083941
89	0.1445853144
90	0.1436019292
91	0.1427018776
92	0.1418611126
93	0.141049946
94	0.1402878097
95	0.1395221757
96	0.1388949891
97	0.1382171702
98	0.1375359188
99	0.1369028164
100	0.1362531831
101	0.1356015895
102	0.1349400695
103	0.1342606682
104	0.1336358009
105	0.1328944191
106	0.1323452986
107	0.1317814877
108	0.1311792748
109	0.1305776179
110	0.1299023804
111	0.1293029923
112	0.128731989
113	0.1281548029
114	0.1275893695
115	0.1270949795
116	0.1265343906
117	0.126085504
118	0.1256614475
119	0.1252498153
120	0.1246531344
121	0.1242331878
122	0.1238527535
123	0.1233994741
124	0.1228410957
125	0.1223517019
126	0.1218658386
127	0.1213153329
128	0.1208212001
129	0.1203433456
130	0.1198923692
131	0.1195467761
132	0.1191078658
133	0.1187477002
134	0.118353622
135	0.117949146
136	0.1174968653
137	0.1170746203
138	0.1166257875
139	0.1163311915
140	0.1158884339
141	0.1154614262
142	0.1151205816
143	0.114649381
144	0.1142464685
145	0.1139547783
146	0.1135589339
147	0.1131766518
148	0.1128257719
149	0.1124479565
150	0.1122065702
151	0.1118135299
152	0.111470137
153	0.1110909267
154	0.1107902439
155	0.1104656278
156	0.1101645632
157	0.1100605922
158	0.1097551064
159	0.1093978537
160	0.1090828497
161	0.1087874931
162	0.1085464249
163	0.1082569782
164	0.1079851738
165	0.107689877
166	0.1073970516
167	0.1071498398
168	0.1067942761
169	0.1065604691
170	0.106339485
171	0.1060207758
